code,name,canton_code
010101,BELLAVISTA,0101
010102,CAÑARIBAMBA,0101
010103,EL BATÁN,0101
010104,EL SAGRARIO,0101
010105,EL VECINO,0101
010106,GIL RAMÍREZ DÁVALOS,0101
010107,HUAYNACÁPAC,0101
010108,MACHÁNGARA,0101
010109,MONAY,0101
010110,SAN BLAS,0101
010111,SAN SEBASTIÁN,0101
010112,SUCRE,0101
010113,TOTORACOCHA ,0101
010114,YANUNCAY,0101
010115,HERMANO MIGUEL,0101
010151,BAÑOS,0101
010152,CUMBE,0101
010153,CHAUCHA,0101
010154,CHECA,0101
010155,CHIQUINTAD,0101
010156,LLACAO,0101
010157,MOLLETURO,0101
010158,NULTI,0101
010159,OCTAVIO CORDERO PALACIOS,0101
010160,PACCHA,0101
010161,QUINGEO,0101
010162,RICAURTE,0101
010163,SAN JOAQUÍN,0101
010164,SANTA ANA,0101
010165,SAYAUSÍ,0101
010166,SIDCAY,0101
010167,SININCAY,0101
010168,TARQUI,0101
010169,TURI,0101
010170,VALLE,0101
010171,VICTORIA DEL PORTETE,0101
010250,GIRÓN,0102
010251,LA ASUNCIÓN,0102
010252,SAN GERARDO,0102
010350,GUALACEO,0103
010352,DANIEL CÓRDOVA TORAL,0103
010353,JADÁN,0103
010354,MARIANO MORENO,0103
010356,REMIGIO CRESPO TORAL,0103
010357,SAN JUAN,0103
010358,ZHIDMAD,0103
010359,LUIS CORDERO VEGA,0103
010360,SIMÓN BOLÍVAR,0103
010450,NABÓN,0104
010451,COCHAPATA,0104
010452,EL PROGRESO,0104
010453,LAS NIEVES,0104
010550,PAUTE,0105
010552,BULÁN,0105
010553,CHICÁN,0105
010554,EL CABO,0105
010556,GUARAINAG,0105
010559,SAN CRISTÓBAL,0105
010561,TOMEBAMBA,0105
010562,DUG DUG,0105
010650,PUCARÁ,0106
010652,SAN RAFAEL DE SHARUG,0106
010750,SAN FERNANDO,0107
010751,CHUMBLÍN,0107
010850,SANTA ISABEL,0108
010851,ABDÓN CALDERÓN,0108
010852,EL CARMEN DE PIJILÍ,0108
010853,SHAGLLI,0108
010854,SAN SALVADOR DE CAÑARIBAMBA,0108
010950,SÍGSIG,0109
010951,CUCHIL,0109
010952,JIMA,0109
010953,GÜEL,0109
010954,LUDO,0109
010955,SAN BARTOLOMÉ,0109
010956,SAN JOSÉ DE RARANGA,0109
011050,SAN FELIPE DE OÑA,0110
011051,SUSUDEL,0110
011150,CHORDELEG,0111
011151,PRINCIPAL,0111
011152,LA UNIÓN,0111
011153,LUIS GALARZA ORELLANA,0111
011154,SAN MARTÍN DE PUZHIO,0111
011250,EL PAN,0112
011253,SAN VICENTE,0112
011350,SEVILLA DE ORO,0113
011351,AMALUZA,0113
